Date,Obs,ID,FIACode,treatment,HHMMSS,FTime,EBal?,Photo,Cond,WUE,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
8/16/2021,1,14_3,BELE,0,10:08:59,32.49999927,0,12.53556229,0.34814229,,290.7186835,3.115641969,0.943234131,24.71847534,6,1.420000017,1,2.840000033,24.88566589,24.71847534,24.84411621,400.5697632,359.5209961,13.46277428,22.61651611,41.15604019,69.13926697,199.6021118,1999.822144,224.996933,96.5429306,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332670186,0.003115642,297.8684753,298.0356659,319.9715358,2.097677515,3.126698877,32.38661658,9.770100462,24.80207062,3.142349118,0.310125464,2.183464746,0.958884372,0.196919534,28.06683369,0.808627832,72.36718155,353.5621901,0.025657815
8/16/2021,2,14_3,BELE,0,10:09:00,32.99999926,0,12.54026368,0.34791302,,290.6273939,3.116554531,0.944059785,24.7247448,6,1.420000017,1,2.840000033,24.8886528,24.7247448,24.84799576,400.5546875,359.4952087,13.46456242,22.62002373,41.15430832,69.13788605,199.6223602,1999.81897,219.9911804,96.54324341,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332703934,0.003116555,297.8747448,298.0386528,319.971028,2.09677253,3.127870241,32.3986447,9.778620972,24.8066988,3.143217576,0.309943519,2.183810457,0.95940712,0.196802163,28.05811123,0.808431898,72.35114154,353.534168,0.025663782
8/16/2021,3,14_3,BELE,0,10:09:01,33.99999924,0,12.52148118,0.347599465,,290.6967545,3.116731422,0.944860888,24.73230171,6,1.420000017,1,2.840000033,24.89376068,24.73230171,24.85443306,400.52948,359.5263672,13.47054577,22.62637901,41.16000366,69.1361618,199.6242828,1999.749023,204.6823425,96.54314423,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332707138,0.003116731,297.8823017,298.0437607,319.9598366,2.096219818,3.129282661,32.41330791,9.786928901,24.8130312,3.144406164,0.309694644,2.184421772,0.959984392,0.196641621,28.0647787,0.808554757,72.33714976,353.5742547,0.025617483
8/16/2021,4,14_3,BELE,0,10:09:02,34.99999922,0,12.47005109,0.348167446,35.81624656,291.0692129,3.116755315,0.943495382,24.72663116,6,1.420000017,1,2.840000033,24.89658165,24.72663116,24.85842514,400.3871765,359.5391235,13.47388649,22.6296196,41.16314697,69.13419342,199.6273346,1999.699219,113.4153137,96.54282379,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332712224,0.003116755,297.8766312,298.0465816,319.9518678,2.097233091,3.128222759,32.40243693,9.772817335,24.81160641,3.144138698,0.310145425,2.184727377,0.95941132,0.196932411,28.10064373,0.809562003,72.37279992,353.6114585,0.025522151
8/16/2021,5,14_3,BELE,0,10:09:03,35.9999992,0,12.44985416,0.347666099,35.80980198,291.0892454,3.115978249,0.944464373,24.73212433,6,1.420000017,1,2.840000033,24.90091133,24.73212433,24.8630619,400.3323669,359.5447388,13.47658062,22.63026428,41.16065979,69.11817169,199.6221161,1999.658569,32.73874283,96.54262543,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332703527,0.003115978,297.8821243,298.0509113,319.9453639,2.097384043,3.129249501,32.41313862,9.782874337,24.81651783,3.145060771,0.309747537,2.184785128,0.960275643,0.19667574,28.10251998,0.809605076,72.34899079,353.6266744,0.025471336
8/16/2021,6,14_4,BELE,0,10:12:44,257.4999942,0,14.78853994,0.358253033,41.27959453,273.6998458,3.338441032,0.983728289,25.57675552,6,1.420000017,1,2.840000033,25.56162262,25.57675552,25.5402813,400.037262,352.0498962,14.10085678,23.89641571,41.40522385,70.16853333,199.6005096,1998.483154,1178.165527,96.53921509,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332667516,0.003338441,298.7267555,298.7116226,319.7572975,1.95767364,3.290669505,34.08635032,10.18993461,25.56918907,3.289191775,0.31812324,2.306941216,0.982250559,0.202080971,26.42276828,0.777446177,72.66158511,345.0201326,0.031144813
8/16/2021,7,14_4,BELE,0,10:12:45,257.4999942,0,14.78853994,0.358253033,41.27959453,273.6998458,3.338441032,0.983728289,25.57675552,6,1.420000017,1,2.840000033,25.56162262,25.57675552,25.5402813,400.037262,352.0498962,14.10085678,23.89641571,41.40522385,70.16853333,199.6005096,1998.483154,1178.165527,96.53921509,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332667516,0.003338441,298.7267555,298.7116226,319.7572975,1.95767364,3.290669505,34.08635032,10.18993461,25.56918907,3.289191775,0.31812324,2.306941216,0.982250559,0.202080971,26.42276828,0.777446177,72.66158511,345.0201326,0.031144813
8/16/2021,8,14_4,BELE,0,10:12:45,257.9999942,0,14.80739905,0.358535027,41.29972788,273.6246156,3.339623945,0.983386841,25.57689667,6,1.420000017,1,2.840000033,25.56238747,25.57689667,25.54101563,400.0561523,352.0132141,14.10167027,23.9002533,41.4057045,70.17657471,199.6088257,1998.628052,1178.63855,96.53915405,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332681376,0.003339624,298.7268967,298.7123875,319.7804811,1.957425449,3.290697076,34.08665746,10.18640417,25.56964207,3.289280229,0.318345576,2.307310235,0.981969994,0.202224518,26.41548892,0.777313478,72.67365419,344.9744858,0.031193837
8/16/2021,9,14_4,BELE,0,10:12:46,258.4999942,0,14.80498375,0.358807263,41.26166128,273.6790267,3.339744378,0.982763872,25.57456017,6,1.420000017,1,2.840000033,25.56349373,25.57456017,25.54208755,400.0372009,352.0025635,14.10321522,23.90191841,41.40763474,70.17703247,199.6132355,1998.815308,1180.043091,96.53939819,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332688726,0.003339744,298.7245602,298.7134937,319.8104421,1.958160593,3.290240691,34.08184382,10.1799254,25.56902695,3.289160118,0.318560184,2.307476819,0.981683299,0.202363079,26.42080854,0.777491573,72.689546,344.9649833,0.031196429
8/16/2021,10,14_4,BELE,0,10:12:47,259.4999942,0,14.77948873,0.359329718,41.13071641,273.9146345,3.341895848,0.982124959,25.57593536,6,1.420000017,1,2.840000033,25.56569099,25.57593536,25.54425621,399.9766235,352.0149536,14.10605335,23.9112339,41.41070557,70.19547272,199.6079712,1999.250977,1182.140869,96.53974152,0.7621966,0.036082797,0.052262027,0.008292885,0.029909775,0.009384986,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332679952,0.003341896,298.7259354,298.715691,319.8801491,1.957978374,3.2905093,34.08450497,10.17327107,25.57081318,3.289508915,0.318971938,2.30838434,0.981124574,0.202628935,26.44364802,0.778133519,72.71381726,344.9894925,0.031150892
